title,content,category
Women to get free entry to matches in inaugural season of WPL,"Women and girls will be getting free entry to matches in the inaugural season of Women's Premier League (WPL), which will begin on March 4. Meanwhile, for men and boys tickets are being sold at a price of ₹100 and ₹400. The tournament will be held in Mumbai's Brabourne Stadium and Navi Mumbai's Dr DY Patil Sports Academy.",national
Harassed for independent thinking: INC on CPR's licence suspension,"Senior Congress leader Jairam Ramesh said Centre suspending Centre for Policy Research's licence under Foreign Contribution Regulation Act is harassment due to the think tank's independent thinking. ""PM Narendra Modi wants drumbeaters and won't tolerate...questioning of his policies, however professional,"" Ramesh said. Income Tax department had conducted surveys on CPR's premises five months ago.",national
2024 polls are about who should be defeated: Tamil Nadu CM Stalin,"Tamil Nadu CM MK Stalin, speaking at his birthday meet on Wednesday, said the 2024 general election is not about who wins, but it's about who should be defeated. ""It's not just the stage of my birthday celebrations. It's also the beginning of a huge political stage in India,"" he added. Stalin said thoughts for the third front are pointless.",national
Let's win polls first: Farooq to Kharge on Opposition's PM face,"National Conference patron Farooq Abdullah on Wednesday told Congress chief Mallikarjun Kharge to forget about who is going to become the next Prime Minister. ""Let's first win elections, then think who'll become PM. PM doesn't matter, the nation matters,"" Abdullah added. He was speaking at Tamil Nadu CM MK Stalin's 70th birthday celebration in Chennai.",national
"UK's legal process independent of govt: UK minister on extradition of Nirav, Mallya","British Foreign Secretary James Cleverly on Wednesday said ""legal process in the UK is independent from the government, just as it is in India"". His comment came in context of the extradition of Nirav Modi and Vijay Mallya. ""We always want to see the machinery of...justice system working promptly but those are...decisions of the British Judicial system,"" he stated. ",national
What is the 'South Group' that has allegedly given ₹100-crore kickbacks to AAP?,"The ED claimed a group of individuals identified as 'South Group' allegedly gave ₹100-crore kickbacks to AAP in Delhi liquor scam. Magunta Sreenivasulu Reddy, YSRCP Lok Sabha MP from Andhra Pradesh's Ongole, and Kalvakuntla Kavitha, daughter of Telangana CM K Chandrashekar Rao, are prominent members of the group. The group secured uninhibited access and undue favours through kickbacks, ED alleged.",national
"HAL to supply 70 HTT-40 basic trainer aircraft to IAF for ₹6,828 crore","The Centre has approved procurement of 70 HTT-40 basic trainer aircraft from HAL for the IAF at a cost of ₹6,828.36 crore. The aircraft will be supplied over six years, the Ministry of Defence said. The HTT-40 is a turbo prop aircraft and is designed to have good low speed handling qualities and provide better training effectiveness, the government said.",national
Over 100 hospitalised after gas attacks on Iran girls' schools,"More than 100 students were hospitalised in Iran after suspected gas attacks on girls' schools on Wednesday, media outlets reported. At least 10 schools were targeted, seven of them in the northwestern city of Ardabil and three in the capital Tehran, media reported. The incident in Ardabil forced the hospitalisation of 108 students, all of whom were in stable condition.



",national
Putin buys largest apartment in Russia for girlfriend Alina: Report,"Russia's President Vladimir Putin bought his gymnast lover Alina Kabaeva the largest apartment in Russia and a wooden mansion, according to an investigation. A report alleged that Putin, 70, funnelled millions in illicit funds into properties for his 39-year-old girlfriend. A penthouse that he bought for her reportedly has 20 rooms, a private cinema, a swimming pool and a helipad.",national
Adani denies report of securing $3 bn from sovereign wealth fund,Adani Group has denied a report which claimed it has secured a $3 billion loan from a sovereign wealth fund. The denial came hours after Reuters reported that a $3 billion loan has been secured by the company from a Middle East-based sovereign wealth fund. BSE also sought clarification from the Adani Group in response to the news report.,national
